"rating","titles","authors","location","date","tenure","recommends","pros","cons","adv_mgmt"
"1.0","""Love will not pay my bills""","Former Employee - Anonymous Employee","","2019-02-04","I worked at Korn Ferry full-time (Less than a year)","Doesn't RecommendDisapproves of CEO","Great people to work with","No 401K match, CEO believes that people do not want or need raises, people need love.","Fire CEO"
"4.0","""Like a Family""","Former Employee - Anonymous Employee","","2018-12-31","I worked at Korn Ferry full-time","RecommendsPositive OutlookNo opinion of CEO","Senior leaders are very encouraging and helpful","Employee Turnover is relatively high",""
"1.0","""The firm does not practice what we preach""","Current Employee - Anonymous Employee","","2019-01-22","I have been working at Korn Ferry full-time (More than 5 years)","Doesn't RecommendNeutral OutlookDisapproves of CEO","Despite my overall negative rating I don't want readers of this review to think that I am a disgruntled employee, so let me first say that I have been able to achieve a lot in my time at the firm. I've received multiple promotions and pay raises and on that front I have no complaints. If you are proactive about your own development I think there are good opportunities at Korn Ferry to broaden your skill set and get exposed to challenging assignments/roles. However I will be leaving the firm soon due to my many frustrations with how the firm is run and how the broader employee population is treated.","Hard to trust management - lack of transparency.Pay is not in line with market, even though Pay & Rewards is one of the firm's main competencies.Managers are not provided with any real training on how to be effective, despite Leadership Development being one of our supposed competencies. I have been in a management/leadership role for 3.5 years and have not received a single hour of mgmt. training.The firm is extremely numbers driven and is still run with an old-school Search mentality. If you are coming from another search firm it will probably feel similar. However if you are on the Advisory/Products side of the organization you may not like the button-up, stiff culture that continues to permeate the organization.Merit increases are discretionary, 401k matches (very small) are discretionary, annual bonuses are discretionary. Basically everything is discretionary. The firm will not make commitments to employees regarding some of these pieces.Morale is low in many parts of the business, turnover is high and the firm doesn't seem to really care.Finance runs this firm. For a People/Talent advisory firm, the internal Talent/HR team has absolutely zero power. That has presented serious issues on multiple fronts.","Take better care of your employees. They should not be treated like cogs in a wheel. If you invest in them adequately they will be far more likely to remain with the firm and strive for exceptional client service.Show yourselves as human beings. How you are currently presenting yourselves and being received is not working for the majority of employees."
"4.0","""Future is bright""","Current Employee - Anonymous Employee","","2018-12-14","I have been working at Korn Ferry full-time","RecommendsPositive OutlookApproves of CEO","Culture is definitely improving and the firm is starting to stabilize after so many acquisitions that left it disjointed at first.","At the end of the day, what really matters to leadership are the financial metrics.",""
"3.0","""Associate Recruiter""","Current Employee - Anonymous Employee","","2018-11-24","I have been working at Korn Ferry full-time","","Well known company, full cycle recruiting experience","No transparency from management, high turn over",""
"5.0","""Recruitment Assistant""","Current Employee - Anonymous Employee","Los Angeles, CA","2018-11-13","I have been working at Korn Ferry full-time (Less than a year)","","Great benefits, lovely staff, good holidays","No overtime allowance, hard workers",""
"2.0","""less talk, more walk on human capital management""","Former Employee - Associate","","2018-11-18","I worked at Korn Ferry full-time (More than a year)","Doesn't RecommendNegative OutlookDisapproves of CEO","Opportunity to learn from some of the best partners in the industry. Overall, collegial, smart, and hardworking colleagues. Top-tier clients and engagements and exposure to leadership at well-known companies. Good brand recognition and constant inbound requests from external recruiters. Huge, long run potential in becoming a human capital giant if they can improve their own talent management and optimize execution. Office closure from Christmas to the New Year.","Attrition is high and morale low. On the associate level, much of this is due to lack of transparency and consistency in how RAs and Associates are hired, promoted, and compensated. Some RAs/Associates have moved up quickly by being opportunistic and learning when there is a vacancy for an upward move while others who are less politically inclined go through a lengthy, promotion process typically after 2 yrs. Actual experience level, performance, and annual reviews therefore seem to hold little weight. Also lack of standardization in resources, e.g., some RAs have laptops, others don’t. Pay is not competive. Your day-to-day and overall experience is highly dependent on what team and partner(s) you work for. Some partners are great, others not so much but either can't save you from the corporate bureaucracy and otherwise nonexistent culture.","If a spot is open on a team, open the position to all those are qualified so that those interested have a chance at pursuing the opportunity. Reward high performers; their work helps keep the client happy and returning. Truly live by the aspirations of a ""one Korn Ferry"" and make it permissible for those who want to transition from executive search to advisory and vice versa to do so. Hire more people in HR so that they're not overwhelmed by the administrative and performance management aspects and can be more thoughtful about the latter. Hire Hay Group."
"1.0","""Senior Recruiter""","Former Employee - Senior Recruiter","Remote, OR","2018-12-05","I worked at Korn Ferry full-time (More than a year)","Doesn't Recommend","Hmmmm.. they talk a good game","Lack of leadership and transparency.",""
"2.0","""Recruiter""","Former Employee - Recruiter","Dallas, TX","2018-11-12","I worked at Korn Ferry (More than 3 years)","Doesn't RecommendNeutral OutlookNo opinion of CEO","Depending on which team you are it could be a really good environment","If you were moved you didn't really have a say and you could end up on a really bad team","Stop focusing so much on NEW clients and NEW talent and take greater care of current clients and current talent."
"4.0","""Research Associate""","Current Employee - Research Associate","Chicago, IL","2018-10-30","I have been working at Korn Ferry full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","great people, flexible hours, ability to work from home","can be long hours at times",""
"2.0","""Ok""","Current Employee - Recruiter","","2018-11-07","","Doesn't RecommendNeutral OutlookNo opinion of CEO","Sometimes work remote, pay is ok","Too many men in higher ranks. Reevaluate pay scales in gender equality. Butt kissers get much better treatment here.","Level gender pay gap it's 2018"
"4.0","""Great if you like autonomy and working alone""","Current Employee - Anonymous Employee","","2018-10-21","I have been working at Korn Ferry full-time","RecommendsPositive OutlookApproves of CEO","autonomy, flexible, working remote, exposure","mainly interacted with colleagues in other states/countries via phone, no team, work by myself majority of the time",""
"5.0","""Analyst""","Current Employee - Analyst","","2018-10-13","I have been working at Korn Ferry full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","- client interaction at junior level- reputation- meritocracy","- as the company, we experience growing pains- onboarding. you really have to own it",""
"4.0","""World's No. 1""","Former Employee - Anonymous Employee","Los Angeles, CA","2018-10-05","I worked at Korn Ferry full-time (More than 3 years)","RecommendsPositive OutlookNo opinion of CEO","Professional , established , good systems and processes.Autonomy to work. Great environment.Excellent opportunity to work with the customers who are large MNCs.","No Inter country opportunities for growth.Compensation and Bonus structure not motivating enough","You are losing good people. Talk to them."
"2.0","""Poor Company Culture""","Current Employee - Anonymous Employee","","2018-10-19","I have been working at Korn Ferry full-time","","Young environment and good for meeting people","Does't care about personal preference and pigeon holes you.","Train your management to be managers. Just because someone is good at 1 job does not mean they are fit to be leaders."
"1.0","""Not the best place to work""","Former Employee - Anonymous Employee","","2018-11-13","I worked at Korn Ferry full-time","","Maternity and vacation are great","Leadership doesn't care what happens to lower level employees",""
"4.0","""Overall good, but the insurance sucks""","Current Employee - Manager","Minneapolis, MN","2018-10-02","I have been working at Korn Ferry full-time (Less than a year)","RecommendsPositive OutlookApproves of CEO","Pay, good team, nice environment, flexible, and fun.","The insurance is somehow worse than being uninsured. If I use my insurance, my out-of-pocket costs go up by over an order of magnitude. At all my previous work places, even with the most basic insurance, a routine visit to the doctor with a prescription would be < $50 out of pocket. With Cigna, it's over $750, and if I don't use my insurance at all, it's about $180.I wish compensation wasn't lumped in with benefits, because the pay is pretty good, the benefits aren't.","Burn your contract with Cigna. They are useless idiots. Get a proper health insurance plan with a company that isn't staffed by incompetent blood-sucking ghouls."
"3.0","""Slow to no growth""","Current Employee - Recruitment Coordinator","Dallas, TX","2018-10-06","I have been working at Korn Ferry full-time (More than a year)","RecommendsNeutral OutlookApproves of CEO","Flexibility, environment and co workers","Minimal pay, flaky leadership, no growth","Diversity is not only great for entry level positions but further up as well"
"4.0","""Career development and""","Current Employee - Anonymous Employee","","2018-09-29","I have been working at Korn Ferry full-time (More than 3 years)","Recommends","Great opportunities to keep learning. Access to great clients.","No formal trainings to equip employees",""
"5.0","""Recruiter""","Current Employee - Recruiter","Remote, OR","2018-09-20","I have been working at Korn Ferry full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","Coming to KF has been my best career decision yet in my young 10 year career. I feel valued daily- whether that's through my compensation/promotions or the flexibility I get. I'm provided the necessary help I need if my plate gets too full and I'm also able to help my co workers when they are in a time of need. Being with KF has allowed me to be a FT employee but also a mom. I have never felt like I've missed out on anything for my kids because of how great my job is with work/life balance.","I don't have much to say on cons- being a remote employee, it can sometimes be hard to feel ""in the know"" of what's going on with the business, but the outreach on that has improved greatly over the past 6 months or so. It's also up to me as a remote employee to do my part and reach out for that info if I feel out of the know.","Continue to loop in remote employees on new business information. You're doing a great job with work/life balance and that's something I think you should continue to focus on and keep up with, as that is what's going to keep younger employees around!"
"5.0","""Great Company!""","Current Employee - Recruiter","","2018-09-20","I have been working at Korn Ferry full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","Great benefits, time off, management","I dont have any cos at this time",""
"5.0","""Hope to retire from Korn Ferry""","Current Employee - Senior Project Manager","Miami, FL","2018-09-20","I have been working at Korn Ferry full-time (More than 8 years)","RecommendsPositive OutlookApproves of CEO","If you work hard, you can advance at Korn Ferry! I have been employed here for 10 years and have been promoted several times. Beyond that, the culture is collaborative and inclusive. The company's mission is one that is easy to get behind... helping people and organizations reach their full potential. I am grateful for all I have learned here.","There can be frequent management changes.","Continue strong commitment to inclusiveness and developing employees."
"3.0","""Career plunge""","Former Employee - Manager","Minneapolis, MN","2018-09-24","I worked at Korn Ferry full-time (More than 3 years)","Doesn't RecommendNeutral OutlookNo opinion of CEO","Exciting industry. Korn Ferry is _THE_ global executive search and placement firm.","Regular, seemingly-random layoffs. Hire consultants and new team members for new projects.","Put more resources into developing employees rather than swapping them out."
"4.0","""Associate Consultant""","Former Employee - Anonymous Employee","Los Angeles, CA","2018-09-17","I worked at Korn Ferry full-time (Less than a year)","RecommendsPositive Outlook","Steep learning curve, various projects and industries to be involved in, opportunity to develop leadership skills","Long working hours, less work/life balance, lower than average pay compared to competitors",""
"3.0","""Senior Recruiter""","Former Employee - Senior Recruiter","Raleigh, NC","2018-09-20","I worked at Korn Ferry full-time (More than a year)","Doesn't RecommendNeutral OutlookDisapproves of CEO","Good Clients and a lot of learning","Bad Leadership and lack of interest in employees wellbeing",""
"2.0","""Publicly traded firm that maximizes shareholder value at the expense of its people""","Former Employee - Anonymous Employee","","2018-09-11","I worked at Korn Ferry full-time","Doesn't RecommendNeutral Outlook","Industry leader, potential for advancement if you are client-facing","Absolutely zero integrity from management when it comes to people outside their big money client-facing people. Low pay, broken promises.",""
"4.0","""Managing Consultant""","Former Employee - Anonymous Employee","","2018-09-04","I worked at Korn Ferry full-time","","Gain experience and exposure to multiple industries","No idea where your bonus comes from",""
"3.0","""Associate Recruiter""","Former Employee - Associate Recruiter","Dallas, TX","2018-09-06","I worked at Korn Ferry full-time (More than 3 years)","Doesn't RecommendNeutral OutlookNo opinion of CEO","Great Maternity plan, great company when you are coming out of college or looking to change your career to HR.","No opportunity for advancement unless you overwork yourself and go to all of the happy hours they offer(meaning if you don’t have any home obligations).","Management changes constantly which makes it difficult to advance. You have to get managers approval to apply to another job within the company. This makes it hard because most managers do not care about advancement, they are wondering when and how they are going to replace you, therefore it is difficult to progress."
"2.0","""Manager""","Current Employee - Anonymous Employee","","2018-09-05","I have been working at Korn Ferry full-time","Doesn't RecommendNegative OutlookNo opinion of CEO","Hard working, collaborative project teams. Great clients!","Company is made up of many acquisitions (this is their growth model) so there very uneven pay across the company for the same roles. People who apply to KF that are not a part of an acquired company can make many times more than someone doing the job for 5+ years that was part of an acquisition.","Since acquiring Hay Group you have access to data and pay trends for your clients. This needs to be done for your employees!"
"2.0","""Consultant, Advisory (Hay Group)""","Former Employee - Anonymous Employee","New York, NY","2018-08-21","I worked at Korn Ferry full-time (More than 3 years)","Doesn't RecommendNeutral OutlookNo opinion of CEO","1. Leading firm for some HR areas2. Learning opportunities by working with very skilled partners3. Interesting growth momentum creating a good amount of opportunities for employees (e.g., mobility across North America).","1. Talent management of own people is weak - e.g., transparency on corporate processes (performance feedback, pay decisions, etc.).2. Compensation is not competitive and consistent, especially true for lower levels.3. Not a culture that supports high performing and driven employees who want to grow their careers within the company.4. A place where achieving targets and performing excellently is not enough - you have to put on a fight for what you believe you are deserving of.","1. Correct pay gaps that exist for many employees2. Create a true culture of high performance, beyond the sales workforce."
"3.0","""Associate Consultant""","Former Employee - Associate Consultant","","2018-08-16","I worked at Korn Ferry full-time (More than a year)","Doesn't RecommendNeutral OutlookNo opinion of CEO","Nice office space and flexibility to work when and where you want.","Poor leadership, pay and benefits are below market, very slow career progression, and no development.",""
"2.0","""Not For Experienced Recruiters""","Former Employee - Anonymous Employee","","2018-08-13","I worked at Korn Ferry full-time","Doesn't RecommendNegative OutlookNo opinion of CEO","Stability is about the only pro, if you work hard you'll always have a new account to go to. However, I also did gain some good friends while working for the organization.","Lets start with low salary - Most the people I've talked to are greatly underpaid. I took a lower salary because of the promise of earning ""up to"" 10% in bonuses, and an aggressive ""pay per performance mindset"". I worked there 3 years and never saw a single pay increase or a bonus more than 2%, and I was one of the highest performers on my account.Culture - Most of the people I talk to, and observe around the office, are not happy. It feels as though it's turned in to an agency where it's all about the clients happiness at the cost of employee morale and mental well-being. If you're not happy, don't bother talking to anyone about it because their mentality is that you can be replaced by a new fresh faced recent college grad that just completed their ""academy"" that makes less than you.There's no consistency from account to account, and you are just another body to fill seats for client and executive visits.","Pay people what they're worth, invest in better health insurance, be more transparent with bonus information, provide recruiters the resources they need to be productive instead of limiting them to the one you want them to use to acquire more accounts = make more money."
"2.0","""Not a career destination""","Former Employee - Anonymous Employee","","2018-08-04","I worked at Korn Ferry full-time (More than 5 years)","Doesn't RecommendPositive OutlookDisapproves of CEO","Great client exposure, good brand name, time off at the holidays","This is a place to get a line on your resume and get out. You will not succeed here. You will not get promoted, unless you are a white male age 30-35. You will probably not get a raise, not even a cost of living increase. When you join, negotiate the highest salary you can get (do not include bonus) and stay for only as many years as you are comfortable earning that. Then take your talents elsewhere. The competitors will take your call.","The salary/bonus policies make people miserable and they end up bitter."
"2.0","""Disjointed""","Current Employee - Senior Consultant","","2018-08-18","I have been working at Korn Ferry full-time (More than 3 years)","RecommendsNegative OutlookNo opinion of CEO","Work from home, access to great clients and opportunities, international reach, supportive managers","The company feels disjointed. Too many acquisitions thats making the company continuously trying to catch up. Functions don’t really communicate with each other. Old technologies. The culture is not very supportive and no real teamwork. Low pay that doesn’t compare to the market rate. No real understanding for talent. Strong hierarchy and people are not expected to speak their minds or innovate.","Invest more in your talents. Create a culture that appreciates people and supports them. Pay them better."
"1.0","""Avoid if possible""","Former Employee - Consultant","","2018-08-29","I worked at Korn Ferry full-time (More than 3 years)","Doesn't RecommendNegative OutlookDisapproves of CEO","Gain work experienceWork remotely occasionally","*Management never takes responsibility for thier own actions. They would rather scapegoat lower level employees.*Pay could be better- bonus and pay increases are almost non-existent*Mostly middle aged white men making all the money*Horrible orientation and trainingIf you want a place to grow, this is not the place for you. They barely promote thier own people and would rather higher from the outside.","Pay your employees what they deserve. Stop rewarding your favorites. Stop writing books and instead fix your own internal organizational issues."
"4.0","""Talent Acquisition""","Current Employee - Anonymous Employee","","2018-07-27","I have been working at Korn Ferry full-time","RecommendsPositive OutlookApproves of CEO","Good moral values and practices.","There isn’t a lot of room for growth.",""
"2.0","""Engagement Coordinator""","Former Employee - Anonymous Employee","","2018-08-06","I worked at Korn Ferry full-time","Doesn't Recommend","Good benefits, competitive salary. Good location.","Poor management that did not care about employess. I worked for an executive with unethical practices but seems they had carte blanche to do so-",""
"2.0","""Associate""","Former Employee - Anonymous Employee","Atlanta, GA","2018-07-24","I worked at Korn Ferry full-time","Doesn't RecommendNegative OutlookDisapproves of CEO","You are exposed to some of the best in the business in terms of clientele.","They do not care about their employees and the bottom line is the only thing that matters. They continually say that things will get better but nothing changes. It is a very hard and aggressive environment with little growth opportunity. The pay is also minimal and no where near what an individual is truly worth.","Invest in your internal talent before someone else does and they become external talent."
"1.0","""Recruitment Account Manager GSK""","Former Employee - Recruitment Account Manager (RAM)","Philadelphia, PA","2018-08-22","I worked at Korn Ferry full-time (More than a year)","Doesn't RecommendPositive OutlookNo opinion of CEO","Pay was good, my ability to juggle priorities was heavily impacted in a good way- it’s like boot camp!","I couldn’t admit how toxic the environment was at futurestep until I was out. You feel the desperation from the brand in how they work between their clients & their employees. The culture is based on escalation. What this means is absence of accessible leadership until the client escalates an issue which lead to this happening even for small things like a request to pull a resume. Then, with limited information leadership steps in to demand immediate priority of whatever issue. With a workload of 50+ reqs and these escalations happening each day throughout the day, this creates a lot of chaos and unnecessary levels of stress vs. pushing back on the client in some situations and implementing processes to help guide the client. Even my family comments on how unhealthy my lifestyle was when I worked there. We are all glad that that’s over!","Don’t be so spineless in responding to client requests, don’t be afraid to slow down and think about if there is a better way to operate. Stop speaking badly about team members to other members on the team. Please monitor your words as you are in a professional leadership role. One team member was told that management expected her to be a “party girl” in training and were surprised that she was actually a good worker. Word travels when you speak this way to your team."
"2.0","""full time employee""","Current Employee - Anonymous Employee","","2018-07-25","I have been working at Korn Ferry full-time","Doesn't RecommendNegative OutlookDisapproves of CEO","The possibility of change in the future","Not great. There are a number of cons",""
"1.0","""Worse Company Ever""","Current Employee - Senior Recruiter","Chicago, IL","2018-08-02","I have been working at Korn Ferry full-time (More than 8 years)","Doesn't RecommendNegative OutlookApproves of CEO","Week off at Christmas, decent insurance","The list is very long. This company expects you to work long grueling hours and does not reward their employees, especially the revenue generating teams. Bonus are abysmal and the exec leader team lies every year about why bonuses are not paid out at plan. Then they say that ""next year will be better"" and guess what? It NEVER is, just a different excuseRaises are pathetic, big surprise considering the lack of bonuses each year for the past 10 years.Way too top heavy on senior leadership, who is receiving all of the rewards from the bondage of others.Projects are never staffed properly. Again, let's save money for the executives and work the team at the client site to the bone.","Stop lying about basically everything but certainly raises and bonuses. You have top talent in the industry working here an you need to recognize that! Reward people, say ""thank you"". At least act like you care a little, oh wait! YOU DON'T!"
"3.0","""Great Company""","Current Employee - Anonymous Employee","","2018-07-26","I have been working at Korn Ferry full-time (More than 5 years)","","Work Life Balance and Benefits","Promotional Opportunities Limited within RPO segment",""
"5.0","""Talent Acquisition Specialist""","Current Employee - Anonymous Employee","","2018-07-09","I have been working at Korn Ferry full-time","","Great company, I've been with them for over 3 years","I don't have anything negative to say",""
"2.0","""Senior Client Partner""","Former Employee - Anonymous Employee","","2018-07-20","I worked at Korn Ferry full-time","","Some good people. Client focused.","Not enough bonus pool to appropriately reward everyone. Chaotic environment.",""
"2.0","""Not applicable""","Former Employee - Anonymous Employee","","2018-07-10","","Doesn't RecommendPositive OutlookDisapproves of CEO","Maternity leave, PTO time, holiday schedule","Culture and climate, salary, work-life balance,","Pay employees market value , improve the company culture"
"2.0","""Coordinator""","Former Employee - Anonymous Employee","","2018-07-09","I worked at Korn Ferry (More than a year)","Doesn't RecommendNeutral OutlookNo opinion of CEO","Great atmosphere if you like to socialize instead of working","lack of flexibility, poor internal training, poor employee detention, low salary .","None. It's their job to know what's wrong."
"4.0","""Consultant - Compensation and Benefits""","Current Employee - Anonymous Employee","Los Angeles, CA","2018-06-10","I have been working at Korn Ferry full-time (Less than a year)","Doesn't RecommendPositive OutlookDisapproves of CEO","Diversity, strong market presence for C&B","Ignorant management on resourcing issue, work the hell off people without compensating or rewarding them rightfully. With that, no real career progression",""
"1.0","""Poisonous Corporate Culture""","Current Employee - Anonymous Employee","","2018-07-15","I have been working at Korn Ferry full-time (More than a year)","Doesn't RecommendNegative OutlookDisapproves of CEO","Some people up to the managers are really nice and amazing to work with.","Unfair distribution of work loads, executives will make their teams work crazy hours and weekends without reward and won't bother to provide any sort or support and leave the office by 5pm on the dot.Unprofessional and exclusive corporate culture, some executives will ask personal questions that have to deal with age, religion, gender, ideology or origin in public and harass their reports around and make fun of them.Executives will pick their favorites for happy hours and group lunches, which do not happen often in corporate anyway.Very insecure place to work, they keep their employment contracts below market and use external recruiting services to tell candidates it will all be covered in a really high discretionary bonus, DO NOT FALL FOR THAT! They will either say it wasn't a good year to give you a small bonus regardless of the doubled up stock price or rob people completely off their bonus and start a stream of lay offs claiming positions are no longer required. For corporate functions, this happens towards the end of the year right before you will earn your bonus, so they'll make sure to get the biggest advantage then can of people and have them do all the hard work before they will let them go, more like free of charge work. And when they do, they will prevent any current employee from providing any external reference for any other current or former employee. Just to be clear, do not think about this twice, you're stepping into a TRAP.Very highly political work environment that your direct boss won't find as shame to steal your effort and claim it all to themselves and show off your unnoticeable errors as a big deal so you will never promote. People who play more politics will get annual or biannual promotions regardless of their performance.Executives will accept and ask for gifts and some of them will discriminate between people based on who paid their duties.Depends on who you are trying to work with, most of the corporate executives are sick. Don't let them fool you, they do not look for strong talents, THAT'S A LIE, they're looking for obedience and never talent. They will hire very poor inexperienced people on executive positions to secure their obedience. If you think you're strong enough, don't bury yourself here, you'll be very intimidating to your superiors and they will make sure to demotivate you.Very abusive and unsupervised culture, if you speak up, you're out and they will make sure to make it the most brutal way.Executive management will listen to and spread rumors about their employees.No career development programs in place and no flexibility to allow you to enroll into one by yourself.Old-school culture and a boy's club, there's a limit on progression for people from certain races, origins, religious beliefs and ideologies.Passive HR function, they will hear to employees problems and frustrations and never take any action.Lack of support from the leadership team, regardless of how many times you reach out for help or how significant the issue you're trying to bring to their attention is. Its more of a war to get a higher bonus at year end by eliminating others.Leadership is unable to deal with the company's growth, they only try to please the investors and will do whatever it takes to get a penny increase in the earnings per share regardless of how it could negatively impact future periods. No long term vision in place. A company that size can not be just managed as a start up.","You have no asset to protect but people. Management should work on assuring people loyalty and work harder to set the tone at the top. Stock prices might be going up now but if you continue to look down on people and undervalue talents, your success will be only a short term one. PRACTICE WHAT YOU PREACH.Respect laws instead of bending them and be honest to your people.Make some investment in your corporate team, though they do not generate revenues but they support all your functions.Change your HR with more active people who would give a damn about your company, at least you wouldn't end up with piles of lawsuits against you from your own people."
"3.0","""Okay company""","Former Employee - Anonymous Employee","","2018-06-25","I worked at Korn Ferry full-time","Doesn't RecommendPositive OutlookNo opinion of CEO","Week off during Christmas, paid time off","Management is horrible, very clicky environment, no advancement","Please review your leadership. You’re losing great people because of them. Promote talent internally"
"1.0","""Associate Consultant/Consultant - Compensation & Benefits""","Former Employee - Anonymous Employee","Los Angeles, CA","2018-07-20","I worked at Korn Ferry full-time (More than a year)","Doesn't RecommendNegative Outlook","Nothing positive about this company","Managers are pathetic and they do not promote individual growth. Company is not growing and running in losses.",""
"1.0","""Team Lead""","Current Employee - Team Lead","","2018-07-11","I have been working at Korn Ferry full-time (More than a year)","Doesn't RecommendNeutral OutlookNo opinion of CEO","You get to learn what it's like to work for a truly terrible company!","Management. Leadership. No Direction. They care nothing about their employees. All about P&L.","Get to know your team. Learn about the struggles they have with their clients before firing people."
"4.0","""Associate""","Former Employee - Anonymous Employee","","2018-05-31","I worked at Korn Ferry full-time","RecommendsPositive OutlookApproves of CEO","Flat structure that rewards you if you produce.","Top heavy and possible lack of career growth at certain point.",""
