"rating","titles","authors","location","date","tenure","recommends","pros","cons","adv_mgmt"
"5.0","""Still a Rocketship""","Current Employee - Data Scientist","New York, NY","2019-02-19","I have been working at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Hard to find another company that moves fast at this scale","You have to be able to manage upwards and downwards","Evaluate the big bets and ensure resource alignment"
"5.0","""Great Company, Great People, Find the Right Team""","Former Employee - Product Experience Analyst","Menlo Park, CA","2019-02-18","I worked at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Flexibility of workBest in Class BenefitsBig Interesting Problems to Solve at ScaleFlexibility to change teams if you get bored, don't fit well with a given teamPerformance is rewarded well","As more people get hired scope of role and work may decrease due to too many cooks in the kitchen.I've noticed a creep in territoriality and focus on getting a good review rather than impact.",""
"3.0","""Chaos""","Current Employee - PSO Manager","Mountain View, CA","2019-03-01","I have been working at Facebook full-time (More than a year)","Doesn't RecommendNeutral OutlookApproves of CEO","- Everyone is smart and very hardworking- Facebook is a great company to work","- The PSO organization excluding ProdOps is a complete mess with no structure .- limited career growth- HR is not helpful and will always side with your manager- There is no work life balance, and you will always be stressed- Your performance is solely based on you managers opinions of you","- Learn to be better people managers- understand the work that your subordinates do and donât rely on other managers feelings"
"5.0","""I was working at Facebook full-time""","Former Employee - Full Stack Developer","Los Angeles, CA","2019-02-20","I worked at Facebook full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","A good place to be in. Enjoyed my full potential. work and life are balanced.","You have to be able to manage upwards and downwards and stressful sometimes.","More transparency and conversation around career advancement and compensation would be nice"
"2.0","""Data Scientist""","Current Employee - Data Scientist","Menlo Park, CA","2019-03-02","I have been working at Facebook full-time (More than a year)","Doesn't RecommendNeutral OutlookDisapproves of CEO","Good perks and comp, coworkers are nice and fun","Very competitive environment. No possible to succeed if you donât work 60+ hours. Focus on short term impact due to performance cycle every 6 months. No clarity on expectations of roles. Mix signals from leadership about culture",""
"4.0","""It is what you make of it""","Current Employee - Content Strategist","Menlo Park, CA","2019-03-05","I have been working at Facebook full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","autonomous work, collaborative and open culture, flat hierarchy, disseminated decision making power, always recognized for your work, perks, free food","Commute, performance culture tends to encourage individualistic persists by some, commute, long days commuting, lacks sense of belonging due to size","More teams/offices in SF to reduce commute burden which is a waste of time (up to 3.5 hours a day). Stricter enforcement of no meeting Wednesday is required."
"5.0","""Absolutely Top Place To Work""","Current Employee - Program Manager","Menlo Park, CA","2019-02-15","I have been working at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","-Amazing transparency with ability to ask executives any question you want-Top notch perks including childcare benefits, industry leading maternity leave, strong pay and stock compensation, generous PTO, free food, etc etc-Smart coworkers and close knit work environment-Strong managers with individualized coaching","-Fast paced work environment - not a place for slackers-Expect to undertake complex initiatives and own them yourself after initial direction provided-A lot of concepts and jargon to learn","Maintain the high bar for talent and support you r existing staff as they further their careers"
"5.0","""Good""","Current Employee - Sourcer","Menlo Park, CA","2019-02-18","I have been working at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Flexible, autonomy, opportunity to advance","Mistakes being made by other departments affects company multiples which affects your pay",""
"5.0","""Incredible career training at top tech company""","Former Employee - Product Specialist","Menlo Park, CA","2019-02-06","I worked at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","- Autonomous working style- Rewarded for impact- Continuous feedback, open culture- Everyone is smart, and very motivated- Feel like everyone is on the same team, going the same place- the PS role is an incredible stepping stone to learn data, execution, project management, XFN skills, product management skills -- or really anything. It sets you up for success in a variety of places.","- While compensation is rewarded, leveling up and moving into new roles is very very challenging- Can feel like Facebook values outside hires more than inside talent already there- Many people do not get hired for roles in different departments or functions simply because they didn't do well on an interview, when they are more than qualified based on previous work experience at the company -- which isn't taken into account for hiring decisions. They weight internal/external folks the same.- work life balance is not great, but you don't come to facebook to ""Cruise"" if you do, you will be fired quickly- Newer PMs from other companies seem to be infiltrating a ""CEO"" role in their job -- which is not how Facebook operates. Collaboration > dictatorship of features and product.- The product specialist role specifically is challenging to stay in for longer than a few years -- the bar for performance gets higher, but you have the same ""quiver"" of tactics and tools and can only reinvent the wheel so much.- Many teams don't understand your role or respect it much, which is problematic because a lot of your impact comes from your ability to push changes and improvements through EMs, PMs and other product focused teams.","- Allow internal candidates some advantages to changing roles or functions within reason -- we have the data and performance history to make the right decision.- Management needs more accountability. Anytime a project didn't ship or a team didn't do well, the leadership had a tendency to deflect blame on PMs, EMs and other ICs rather than leadership. In almost every org, there are major leadership problems that stem from some politics coming into play and people trying to carve out their fiefdom."
"3.0","""A great place to learn and grow, if you're lucky and find the right team""","Former Employee - Product Designer","New York, NY","2019-02-12","I worked at Facebook full-time (More than 3 years)","Doesn't RecommendPositive OutlookDisapproves of CEO","- If you find the right team, and you have the autonomy to self-improve and grow, Facebook is a great place for you to flex your wings, experiment, and improve.- By default, almost everything you ship is used by a lot of people- Benefits are really good","- You work all the time. It's impossible to truly step away from work. I had dreams about FB projects until about 3 months after I left.- If you don't end up on a good team, or with a good manager, you're out of luck in terms of ""upwards"" movement and ""impact"". It's really a dice roll unless you're privileged enough to select a specific team.- Facebook itself is a well greased machine. It self-enforces a lot of its own problems we're seeing the outcomes of today due to how it works. It's unlikely to change that anytime soon, so if you don't like how FB is unable to predict externalities in its work at its scale, you'll be upset working there- Working at FB is a bit like having blinders on. You're so dang busy and shipping things all the time, it is not conducive for you to think about the big picture and (related to above) the potential butterfly effects/externalities of your work. Many well-intentioned projects end up having disasterous consequences, but I'm confident that 99% of people out there, if they worked on the project, would've also been unable to predict the fallout. The prime example here is Instant Articles, which was a design-lead initiative to give select news partners the ability to make their articles load fast and render ""natively"" in the mobile apps (spun out of Paper after that got shut down). I can assure you that all the team wanted to make was a beautiful interface â it was lead by a product designer â and none of them would've wished to kill ad revenue/contribute to ruining journalism. You can argue that Instant Articles was one in many many steps FB took that ultimately shifted the ability to make money off of news ads from newspapers to FB itself, and lead to today's massive journalism layoffs and click-bait culture (if ya can't get clicks, ya can't get ad views, and ya can't make money). If you ever met the Instant Articles design lead, you'd know all they care about is a good design and polished interactions. But it turns out, just caring about that means you aren't thinking about the potential damage your product can do 4 years down the line.","Facebook's culture will never change. The recent Q4 earnings are a testament to how good the ""ship fast"" machine is printing money. Even a disastrous 3 year long anti-FB PR cycle didn't keep the stock down for long, which means the company won't make major changes to the way they work.Here are the more radical ideas that will never be implemented:- Zuck needs to go, or step back into a different role to just focus on his pet projects (which he has many). His low EQ trickles down through the company because all important projects live or die by the ""Zuck Review"", which he offers his gut views on the product. The man is not infallible, and cannot predict bad human behavior because he himself (and those around him) are only human, and have many flaws and oversights due to their background, location, wealth, etc.- Build more ""local"" product teams. FB to this day insists on running product from HQ, whereas Lays and Doritos know that their American flavors will never work in Southeast Asia and create local flavors with a local team and local testing. Line is a Korean company that has a Thailand specific team to work on Thailand specific features. Facebook has never done this except for a ""project Japan"" to make FB more appealing to Japanese people in the late 2000s/early 2010s.- Fire a ton of people. There is a lot of incompetence, especially at the management levelNone of that will happen."
"4.0","""Unforgettable experience""","Former Employee - Anonymous Employee","Menlo Park, CA","2019-02-27","I worked at Facebook full-time (More than 3 years)","RecommendsNeutral OutlookApproves of CEO","There is a strong sense of decency and morality pulsing throughout the culture. Leadership is genuine, inspiring and accessible.","Allegiance to culture and company creates a bubble where differing viewpoints are difficult to identify and discuss.",""
"5.0","""Recommend""","Current Employee - Software Engineer","Menlo Park, CA","2019-02-05","I have been working at Facebook full-time (Less than a year)","RecommendsNeutral OutlookNo opinion of CEO","- Challenging engineering work.- Food is really good.- People are smart.","- Questionable user privacy handling.- Work life balance can be improved.","Just be more user-centric."
"2.0","""Facebook has made me sick and needed to seek counseling.""","Former Employee - Operations Program Manager","Menlo Park, CA","2019-02-14","I worked at Facebook full-time (Less than a year)","Doesn't RecommendNeutral OutlookApproves of CEO","- Great people/team to work with - very Friendly folks in all support organizations- Great perks - Makes the stress worthwhile at some moments","- Stressful environment with no appropriate coaching.- Manager threaten to fire me in the first 3 months. I have proven track record in several high profile companies.- Dev and get well plans are smoke screens- First time managers canât fathom disagreement - a very hypocritical feedback & internal employee survey process","- Need to spend time in integrating new hires, rather than pushing then to preform from day one. New folks need to adapt to culture before they can excel.- Don't manage by fear, especially with new college grads."
"5.0","""Facebook""","Current Employee - Front End Engineer","Menlo Park, CA","2019-02-07","I have been working at Facebook full-time (More than 5 years)","","Great people and positive environment","Rapid expansion can be disruptive",""
"4.0","""Great place to work""","Former Employee - Product Manager","New York, NY","2019-02-20","I worked at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Benefits were awesome, and you do work with super smart and driven people. The culture discourages typical political crap and most people are super friendly and collaborative.","The company is so huge that decisions you make can have negative impacts on society (to be fair can have positive impacts as well). Need only look to the 2016 election for examples.",""
"5.0","""amazing experience""","Current Employee - Software Developer","New York, NY","2019-02-02","I have been working at Facebook full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","great community and very good environment","less time for your self",""
"4.0","""Supportive, Flexible Work Environment... Shifting Corporate Culture""","Current Employee - Strategic Partner Development Manager","Los Angeles, CA","2019-02-19","I have been working at Facebook full-time (More than 3 years)","RecommendsNeutral OutlookApproves of CEO","- Incredible benefits (health and wellness, PTO, sick leave, parental leave)- Supportive and inclusive work environment w/ focus on representation- Competitive salary and total comp package w/ equity- Flexible work hours, respect for work/life balance- Massive opportunities for internal learning, tons of L&D resources- Openness and ability to learn about what other teams are working on","- Becoming increasingly bureaucratic, corporate, hierarchical- Poor hiring decisions at more senior levels... you may encounter incompetent and inexperienced managers- You may be overlooked for promotions, hugely important to self-advocate- Poor handling of PR and Comms crises that directly impact employees","Focus on hiring better managers, promoting strong employees, improving HR and Comms"
"4.0","""Demanding yet very rewarding environment""","Former Employee - Software Engineer","Palo Alto, CA","2019-02-19","I worked at Facebook full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","Good salary and bonus structure, great fringe benefits","very high COL area. demanding project schedules",""
"5.0","""I can't ask for a better company""","Current Employee - IC V","Menlo Park, CA","2019-02-01","I have been working at Facebook full-time (Less than a year)","RecommendsPositive OutlookApproves of CEO","Let's start with what's top of mind for most people - the pay and the perks. This place pays better than anywhere else I've interviewed at in the Bay Area, and that's just base salary alone. Plus the bonus and RSUs? Wow, I don't think I'm able to leave! The benefits are absolutely stellar. Everything from great food, laundry, concierge desks, best medical/dental/vision (especially if you're insuring yourself only), 401K matching, after tax 401K (which is rare), wellness reimbursement, spas on campus, you name it. It really is amazing.Culture is transparent, honest, hardworking, dedicated, detail-oriented, and collegial. You get to work with some of the smartest and hardest working people in the industry. I haven't encountered any work/life balance issues, the hours are pretty flexible.","Due to the sheer size of some departments, things can feel a bit slow and bureaucratic at times.","Keep up the excellent work. Love this compoany!"
"4.0","""Technical Writer for Facebook (Enterprise Engineering)""","Current Employee - Technical Writer","Fremont, CA","2019-02-15","I have been working at Facebook full-time (Less than a year)","RecommendsPositive OutlookApproves of CEO","The best part of Facebook is the culture and how everyone is trying to build something great.","The pitfall of Facebook is that it's so large and that it treats its contingent workforce like a step-child.",""
"4.0","""My experience with Facebook""","Current Employee - Recruiting Coordinator","Menlo Park, CA","2019-02-15","I have been working at Facebook full-time (More than 3 years)","RecommendsNeutral OutlookNo opinion of CEO","1. Amazing amenities: Free food, shuttles to and from work, gym, intelligent people, free beer & wine on Fridays2. Great internal tools3. Work life balance4. Room for growth5. Great culture & good mix of diversity","1. Hard to grow since Facebook is becoming bigger each year. It's possible, but harder each year and competitive2. Favoritism among certain teams3. Not as transparent as they like to say they are",""
"1.0","""Don't be fooled by the name and 'glitz' of facebook !""","Current Employee - Finance Manager","Menlo Park, CA","2019-03-07","I have been working at Facebook full-time (More than 3 years)","Doesn't RecommendNegative OutlookNo opinion of CEO","Facilities and benefits are excellent","Bad atmosphere, poor senior management, extremely bad work-life balance and no recognition or reward.",""
"5.0","""Still a great place to work""","Current Employee - Content Strategist","Menlo Park, CA","2019-01-29","I have been working at Facebook full-time (Less than a year)","RecommendsPositive OutlookApproves of CEO","Responsive management, transparent pay scales, autonomy, big investments in training and growth opportunities, excellent facilities team, great support staff, collaboration and consensus culture baked in.","Sloppy internal tools, quip, buggy calendars","Professionalize our metrics, impact reporting, and project stack ranking. Itâs weord that we canât trace projects that improve useability to operating costs."
"5.0","""Transparent Meritocracy""","Former Employee - Product Manager","Menlo Park, CA","2019-01-08","I worked at Facebook full-time (More than 5 years)","RecommendsPositive OutlookApproves of CEO","- Felt like I was always being judged by the merits of my arguments- Great managers- Inspiring people to work with- Impact","- Makes every other job feel less rocket ship y","- Continue to focus on making sure great talent is listened to and heard"
"5.0","""Great place to learn and build your career""","Current Employee - Anonymous Employee","Menlo Park, CA","2019-01-29","I have been working at Facebook full-time (More than 5 years)","RecommendsNeutral OutlookApproves of CEO","+Big challenges+Work with strong professionals+Long-term strategy, timelines+Transparent culture+Robust business","- Tough to read the headlines sometimes",""
"5.0","""Excited to be here""","Current Employee - Sales Ops Associate","Menlo Park, CA","2019-01-28","I have been working at Facebook full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","Extremely strong onboarding and training for new hires. A lot of interesting projects as the company continues to scale and innovate","Must learn internal tools which are different than ones in mainstream industry. Some skills will be niche as a result.","Continue being cutting edge"
"2.0","""AVOID FB, incompetent management, bias against women""","Current Employee - Product Manager","Menlo Park, CA","2018-10-19","I have been working at Facebook full-time (More than a year)","Doesn't RecommendNeutral OutlookDisapproves of CEO","all the industry perks (food, 401k matching, shuttles, etc.). Smart colleagues to learn from and work with.","Itâs just awful inside FB and no one seems to be talking about it. The company is full of self-inflicted wounds and senior leadership (Mark, Sheryl) live in an absolute impenetrable bubble of privilege and cluelessness. Performance review process is painful and horribly biased and downright unprofessional. The company values intellect over being decent people and thatâs led to the place being riddled with smart jerks. Senior management continuously surprised when employees vocally call out their callousness and ineptitude. Itâs painful to watch and painful to work there.","I donât think any advice I could give you would help. Many people are very unhappy."
"4.0","""Good company, good perks. Did not like culture much""","Current Employee - Software Engineer","Bellevue, WA","2019-02-08","I have been working at Facebook full-time (More than 3 years)","","Good company, good perks. Good products","Did not like culture much",""
"4.0","""Amazing benefits- great salary- but too much entitlement-and not enough hard decisions being made""","Current Employee - Anonymous Employee","Menlo Park, CA","2019-01-20","I have been working at Facebook full-time (More than 3 years)","RecommendsNeutral OutlookApproves of CEO","free gourmet food, desserts that can be served at Michelin star restaurants- great coffee, free snacks...amazing benefits for new babies, fertility treatements, and health plans are solid.","The culture it turning and its become a place where people are mean to each other, they don't listen with good intent, there's too much fluff being spoken by our leaders, when we know there are hard decisions that need to be made around our growth and the product...but yet we continue to do what is best for FB, not the employees, the world.","More diversity, Less bro-culture. More real talk."
"4.0","""Rapid growth in employee count provides both opportunities and challenges""","Current Employee - Software Engineer","Seattle, WA","2019-02-10","I have been working at Facebook full-time (More than a year)","RecommendsPositive OutlookNo opinion of CEO","Great pay and benefits. Tremendously interesting problems. A really great place to work specifically for junior engineers.","Rapid growth means lots of confusion and work duplication. The engineering culture seems like a good fit for a smaller more mobile company.","Management seems averse to making hard choices when there is a conflict of ideas. It seems kind of pointless to continue the pretense that engineers call all the shots in a company this large."
"5.0","""Sweet Place to work""","Current Employee - Data Engineer","Boston, MA","2019-01-27","I have been working at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","They treat you like a human here - amazing managers and the ability to choose teams","A lot of complex technology to pick up",""
"5.0","""Values Employees like no one else""","Current Employee - Program Manager","Menlo Park, CA","2019-01-25","I have been working at Facebook full-time (Less than a year)","RecommendsPositive OutlookApproves of CEO","Leadership truly values employee opinions and offers true transparency. via multiple mediums","Expect to work hard as things progress fast with smart colleagues everywhere.","Continue fighting the good fight"
"5.0","""An Awesome Workplace""","Current Employee - Software Engineer","Seattle, WA","2019-01-21","I have been working at Facebook full-time (More than a year)","RecommendsNeutral OutlookApproves of CEO","Perfect benefit, culture, employees, wlb","No impact work and tech skills",""
"5.0","""Fantastic workplace for motivated employees""","Current Employee - Risk Analyst","Austin, TX","2019-01-16","I have been working at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Amazing benefits, flexible work schedules (team dependent), fast paced, dynamic, great experience.","It's fast paced. If you get stressed easily, this workplace will burn you out.",""
"5.0","""Still a fantastic place to work""","Current Employee - User Experience Researcher","Menlo Park, CA","2019-01-15","I have been working at Facebook full-time (More than a year)","RecommendsNeutral OutlookDisapproves of CEO","- The people are very caring and smart- Great culture of management- Great perks- Good work life balance","- PR cycle- Commute to SF",""
"4.0","""Inconsistent benefits across the company""","Current Employee - Anonymous Employee","Menlo Park, CA","2019-01-19","I have been working at Facebook full-time (More than 3 years)","Doesn't RecommendNeutral OutlookApproves of CEO","Very social work environmentInternational travelNice on-site benefits (multiple restaurants and places to go to relax or work)","Wildly inconsistent benefits between people at the same IC or Management level across different parts of the company. Operations functions undervalued, even if the basic job function is the same. Engineers still seen as the top brass from a comp perspective.Felt like promotions were suppressed.... very very hard to climb once you get in, so it's best to negotiate your level before joining so you don't get stuck.Culture of openness and ability to question leadership is NOT shared across the company, even though Senior execs at the company say you should do it.","Work on consistency, so that your people are treated the same (and fairly) across the company, vs just in pockets."
"5.0","""Don't believe all of the negative press""","Current Employee - Anonymous Employee","Menlo Park, CA","2018-12-03","I have been working at Facebook full-time (More than 5 years)","RecommendsPositive OutlookApproves of CEO","Having worked at Facebook for a number of years, and having experienced many other companies prior, I am still incredibly proud to work at such a company that values its employees, is so open and transparent, and that has a mission I truly believe in. Speaking with a number of employees who left Facebook only to return once again, while no company is perfect, there is a lot that Facebook has to offer - not just in terms of benefits, but with the impact that our apps and services have on this world - for people and businesses alike.Our open culture is pretty amazing to understand the vision of our company and where we're heading. Leadership has been consistently transparent in ways that many other companies are not - even other tech companies - with weekly Q&As, open posts, and quarterly all hands. And they address tough issues or topics head on.There are a lot of career opportunities within the company - as we often refer to the ""jungle gym"" that you can take your career internally. There are incredibly passionate people who work at Facebook, and I never cease to be amazed by the level of intelligence and care demonstrated by my coworkers around the world to help our company deliver on our mission.","Particularly as of late, Facebook has been subject to a lot of negative press. While some of it may be deserved, a lot of it feels sensationalist. So employees have to develop a thick skin and resilience to a lot of this scrutiny and ensure that we are focused on the long-term, not just the short-term.But perhaps the primary area of improvement is that people are driven and work hard - which sometimes comes at the expense of the work/life balance that we all try to achieve.",""
"5.0","""Awesome place to be""","Current Employee - Compensation Consultant","Austin, TX","2018-12-21","I have been working at Facebook full-time (Less than a year)","RecommendsPositive OutlookApproves of CEO","The moment one steps inside Facebook, they immediately know something is different here. There is a positive energy within the offices and all the employees walking about them. This was the feeling I had six months ago when I joined Facebook, and still reflects my feelings today. These people practice what they preach...they are delivering platforms and tools to build community and bring the world closer together, period.","I just wish I had arrived here sooner!",""
"5.0","""Keeping the ""Bar"" high""","Current Employee - Chef","Prineville, OR","2019-01-02","I have been working at Facebook full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","Appreciative company that is actually making a positive impact. Everything we do is dominated by the decisions to do what is ""right,"" in a world where so many companies take the easy way out.","Obviously it is a large company with lots of moving parts so sometimes there are efficiency issues, but we are always learning and improving and I think that is the key takeaway.","Keep ignoring the haters and focusing on our impact."
